id,"name","alt_name",material_id,project_id,"location",lat,long,elevation,"igsn","note","lithology"
1,"blank_air",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,"blank_cocktail",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3,"blank_unknown",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,"background",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5,"air",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,"cocktail",NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,"FC-2",NULL,2,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,"MB06-674","AF-072",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,"MB06-507","AF-003",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,"MB06-636","AF-059",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,"MB06-671","AF-069",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,"MB06-615","AF-050",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,"MB06-613","AF-048",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,"MB06-612","AF-047",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,"MB06-611","AF-046",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,"MB06-610","AF-045",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,"MB06-608","AF-043",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,"MB06-712","AF-088",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,"MB06-587","AF-033",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,"MB06-582","AF-032",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,"MB06-670","AF-068",4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,"MB06-508","AF-004",4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,"MB06-750a","AF-106",4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,"MB06-634","AF-057",4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,"MB06-747","AF-103",4,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
27,"MB06-673a","AF-071",5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28,"MB06-750b","AF-106",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,"MB06-753","AF-109",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
30,"MB06-746","AF-102",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
31,"MB06-673b","AF-071",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
32,"MB06-710","AF-086",6,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
35,"MB06-509","AF-005",5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
36,"MB06-525","AF-010",5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
37,"MB06-524","AF-009",5,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,"MB06-826a","AF-146",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
56,"MB06-827","AF-147",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
57,"MB06-830","AF-150",2,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
58,"MB06-501","AF-001",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
59,"MB06-748","AF-104",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,"MB06-825","AF-145",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
61,"MB06-826b","AF-146",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
62,"MB06-828","AF-148",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
63,"MB06-831","AF-151",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
64,"MB06-832","AF-152",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
65,"MB06-833","AF-153",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
66,"MB06-840","AF-155",7,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
67,"MB06-546","AF-018",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
68,"MB06-556","AF-021",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
69,"MB06-560","AF-024",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
70,"MB06-565","AF-026",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
71,"MB06-595","AF-036",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,"MB06-596","AF-037",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,"MB06-761","AF-116",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,"MB06-762","AF-117",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,"MB06-763","AF-118",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
76,"MB06-764","AF-119",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,"MB06-765","AF-120",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,"MB06-829","AF-149",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
79,"MB06-834","AF-154",3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
81,"MB07-001",NULL,3,4,"79",-78.5651944444,166.659138889,365,"","dike cutting strombolian tephra",""
82,"MB07-008",NULL,3,4,"63",-78.571,166.771416667,528,"","spatter feed flow alternating with strombolian tephra",""
83,"MB07-022",NULL,3,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84,"MB07-027",NULL,3,4,"HH",-78.5614166667,166.941,824,"","dome trachyte",""
85,"MB07-073",NULL,3,4,"HH",-78.5109722222,166.062833333,636,"","light grey lava",""
86,"MB07-119",NULL,3,4,"15",-78.6488055556,167.100638889,581,"","dense lava overlying cinder sequence",""
88,"MB07-121",NULL,3,4,"15",-78.6491111111,167.108777778,659,"","dense xtal rich lava at top of section ",""
89,"MB07-141",NULL,3,4,"49",-78.58775,166.946527778,477,"","dense lava flow >15m thick",""
90,"MB07-177",NULL,3,4,"HH",-78.5920555556,167.051361111,0,"","xtal poor mafic flow banded lava above dome",""
91,"MB07-186",NULL,3,4,"119",-78.5323888889,166.268833333,284,"","dense lava lobe  xtalline poor fine grained gm",""
92,"MB07-025",NULL,3,4,"9",-78.6664444444,167.099638889,597,"","black glassy lava forming top of mt wilch",""
93,"MB07-017",NULL,4,4,"9",-78.6634722222,167.058055556,304,"","massive intermediate lava",""
94,"MB07-045",NULL,4,4,"HH",-78.5511666667,166.652138889,0,"","basaltic lava",""
95,"MB07-068",NULL,4,4,"153",-78.5105833333,165.909722222,341,"","xtal rich lava overlying breccia",""
96,"MB07-114",NULL,4,4,"15",-78.6471111111,167.082416667,442,"","2m thick green dike cutting dome lavas ",""
97,"MB07-122",NULL,4,4,"MS",-78.4094444444,165.491694444,390,"","2 bags small juvenile bombs with tuff cone sequence",""
98,"MB07-133",NULL,4,4,"48",-78.5890277778,166.968833333,606,"","dark greenish grey lava",""
99,"MB07-136",NULL,4,4,"48",-78.5886944444,166.969638889,628,"","xtal rich dark gray lava",""
100,"MB07-144",NULL,4,4,"49",-78.5860277778,166.973416667,808,"","trachyte dike cutting strombolian sequence",""
101,"MB07-145",NULL,4,4,"49",-78.5843333333,166.980055556,895,"","trachyte dome lava",""
102,"MB07-174",NULL,4,4,"HH",-78.585,166.9965,846,"","trachyte below pyroclastics",""
