id,level_id,position,weight
2,2,7,NULL
3,2,8,NULL
4,2,9,NULL
5,2,10,NULL
6,2,11,NULL
7,2,12,NULL
8,2,1,NULL
9,2,2,NULL
10,2,3,NULL
11,2,4,NULL
12,2,5,NULL
13,2,6,NULL
14,3,1,NULL
15,3,2,NULL
16,3,3,NULL
17,3,4,NULL
18,3,5,NULL
19,3,6,NULL
20,3,7,NULL
21,3,8,NULL
22,3,9,NULL
23,3,10,NULL
24,3,11,NULL
25,3,12,NULL
26,4,1,NULL
27,4,2,NULL
28,4,3,NULL
29,4,4,NULL
30,4,5,NULL
31,4,6,NULL
32,4,7,NULL
33,4,8,NULL
34,4,9,NULL
35,4,10,NULL
36,4,11,NULL
37,4,12,NULL
38,5,1,NULL
39,5,2,NULL
40,5,3,NULL
41,5,4,NULL
42,5,5,NULL
43,5,6,NULL
44,5,7,NULL
45,5,8,NULL
46,5,9,NULL
47,5,10,NULL
48,5,11,NULL
49,5,12,NULL
50,5,14,NULL
51,5,16,NULL
52,5,18,NULL
53,5,20,NULL
54,6,1,NULL
55,6,2,NULL
56,6,3,NULL
57,6,4,NULL
58,6,5,NULL
59,6,6,NULL
60,6,7,NULL
61,6,8,NULL
62,6,9,NULL
63,6,10,NULL
64,6,11,NULL
65,7,1,NULL
66,7,2,NULL
67,7,3,NULL
68,7,4,NULL
69,7,5,NULL
70,7,6,NULL
71,7,7,NULL
72,7,8,NULL
73,7,9,NULL
74,7,10,NULL
75,7,11,NULL
76,7,12,NULL
77,7,13,NULL
78,7,14,NULL
79,7,15,NULL
80,7,16,NULL
81,7,17,NULL
82,7,18,NULL
83,7,19,NULL
84,7,20,NULL
85,8,1,NULL
86,8,2,NULL
87,8,3,NULL
88,8,4,NULL
89,8,5,NULL
90,8,6,NULL
91,8,7,NULL
92,8,8,NULL
93,8,9,NULL
94,8,10,NULL
95,8,11,NULL
96,8,12,NULL
97,8,13,NULL
98,8,14,NULL
99,8,15,NULL
100,8,16,NULL
101,8,17,NULL
102,8,18,NULL
103,8,19,NULL
104,8,20,NULL
105,9,1,NULL
106,9,2,NULL
107,9,3,NULL
108,9,4,NULL
109,9,5,NULL
110,9,6,NULL
111,9,7,NULL
112,9,8,NULL
113,9,9,NULL
114,9,10,NULL
115,9,11,NULL
116,9,12,NULL
117,10,1,NULL
118,10,2,NULL
119,10,3,NULL
120,10,4,NULL
121,10,5,NULL
122,10,6,NULL
123,10,7,NULL
124,10,8,NULL
125,10,9,NULL
126,10,10,NULL
127,10,11,NULL
128,10,12,NULL
129,11,1,NULL
130,11,2,NULL
131,11,3,NULL
132,11,4,NULL
133,11,5,NULL
134,11,6,NULL
135,11,7,NULL
136,11,8,NULL
137,11,9,NULL
138,11,10,NULL
139,11,11,NULL
140,11,12,NULL
141,12,1,NULL
142,12,2,NULL
143,12,3,NULL
144,12,4,NULL
145,12,5,NULL
146,12,7,NULL
147,12,8,NULL
148,12,9,NULL
149,12,10,NULL
150,12,11,NULL
151,12,12,NULL
152,13,1,NULL
153,13,2,NULL
154,13,3,NULL
155,13,4,NULL
156,13,5,NULL
157,13,6,NULL
158,13,7,NULL
159,13,8,NULL
160,13,9,NULL
161,13,10,NULL
162,13,11,NULL
163,13,12,NULL
164,14,1,NULL
165,14,2,NULL
166,14,3,NULL
167,14,4,NULL
168,14,5,NULL
169,14,7,NULL
170,14,8,NULL
171,14,9,NULL
172,14,10,NULL
173,14,11,NULL
174,14,12,NULL
175,15,1,NULL
176,15,2,NULL
177,15,3,NULL
178,15,4,NULL
179,15,5,NULL
180,15,6,NULL
181,15,7,NULL
182,15,8,NULL
183,15,9,NULL
184,15,10,NULL
185,15,11,NULL
186,15,12,NULL
187,15,13,NULL
188,15,14,NULL
189,15,15,NULL
190,15,16,NULL
191,15,17,NULL
192,15,18,NULL
193,15,19,NULL
194,15,20,NULL
195,16,4,NULL
196,16,8,NULL
197,16,12,NULL
198,16,16,NULL
199,16,1,NULL
200,16,3,NULL
201,16,5,NULL
202,16,7,NULL
203,16,9,NULL
204,16,11,NULL
205,16,13,NULL
206,16,15,NULL
207,16,17,NULL
208,16,19,NULL
209,16,2,NULL
210,16,6,NULL
211,16,10,NULL
212,16,14,NULL
213,16,18,NULL
214,17,1,NULL
215,17,2,NULL
216,17,3,NULL
217,17,4,NULL
218,17,5,NULL
219,17,6,NULL
220,17,7,NULL
221,17,8,NULL
222,17,9,NULL
223,17,10,NULL
224,17,11,NULL
225,17,12,NULL
226,17,13,NULL
227,17,14,NULL
228,17,15,NULL
229,17,16,NULL
230,17,17,NULL
231,17,18,NULL
232,17,19,NULL
233,17,20,NULL
234,18,1,NULL
235,18,2,NULL
236,18,3,NULL
237,18,4,NULL
238,18,5,NULL
239,18,6,NULL
240,18,7,NULL
241,18,8,NULL
242,18,9,NULL
243,18,10,NULL
244,18,11,NULL
245,18,12,NULL
246,19,1,NULL
247,19,2,NULL
248,19,3,NULL
249,19,4,NULL
250,19,5,NULL
251,19,6,NULL
252,19,7,NULL
253,19,8,NULL
254,19,9,NULL
255,19,10,NULL
256,19,11,NULL
257,19,12,NULL
258,20,1,NULL
259,20,2,NULL
260,20,3,NULL
261,20,4,NULL
262,20,7,NULL
263,20,8,NULL
264,20,9,NULL
265,20,10,NULL
266,20,11,NULL
267,20,12,NULL
268,21,1,NULL
269,21,2,NULL
270,21,3,NULL
271,21,4,NULL
272,21,5,NULL
273,21,6,NULL
274,21,7,NULL
275,21,8,NULL
276,21,9,NULL
277,21,10,NULL
278,21,11,NULL
279,21,12,NULL
280,22,1,NULL
