id,molecular_weight_id,analysis_id,detector_id,"kind"
1,2,134,31,"baseline"
2,2,134,31,"signal"
3,9,134,31,"baseline"
4,9,134,31,"signal"
5,8,134,31,"baseline"
6,8,134,31,"signal"
7,5,134,31,"baseline"
8,5,134,31,"signal"
9,6,134,31,"baseline"
10,6,134,31,"signal"
11,4,134,31,"baseline"
12,4,134,31,"signal"
13,2,135,31,"baseline"
14,2,135,31,"signal"
15,9,135,31,"baseline"
16,9,135,31,"signal"
17,8,135,31,"baseline"
18,8,135,31,"signal"
19,5,135,31,"baseline"
20,5,135,31,"signal"
21,6,135,31,"baseline"
22,6,135,31,"signal"
23,4,135,31,"baseline"
24,4,135,31,"signal"
25,2,136,31,"baseline"
26,2,136,31,"signal"
27,9,136,31,"baseline"
28,9,136,31,"signal"
29,8,136,31,"baseline"
30,8,136,31,"signal"
31,5,136,31,"baseline"
32,5,136,31,"signal"
33,6,136,31,"baseline"
34,6,136,31,"signal"
35,4,136,31,"baseline"
36,4,136,31,"signal"
37,2,137,31,"baseline"
38,2,137,31,"signal"
39,9,137,31,"baseline"
40,9,137,31,"signal"
41,8,137,31,"baseline"
42,8,137,31,"signal"
43,5,137,31,"baseline"
44,5,137,31,"signal"
45,6,137,31,"baseline"
46,6,137,31,"signal"
47,4,137,31,"baseline"
48,4,137,31,"signal"
49,2,138,31,"baseline"
50,2,138,31,"signal"
51,9,138,31,"baseline"
52,9,138,31,"signal"
53,8,138,31,"baseline"
54,8,138,31,"signal"
55,5,138,31,"baseline"
56,5,138,31,"signal"
57,6,138,31,"baseline"
58,6,138,31,"signal"
59,4,138,31,"baseline"
60,4,138,31,"signal"
61,2,139,31,"baseline"
62,2,139,31,"signal"
63,9,139,31,"baseline"
64,9,139,31,"signal"
65,8,139,31,"baseline"
66,8,139,31,"signal"
67,5,139,31,"baseline"
68,5,139,31,"signal"
69,6,139,31,"baseline"
70,6,139,31,"signal"
71,4,139,31,"baseline"
72,4,139,31,"signal"
73,2,140,31,"baseline"
74,2,140,31,"signal"
75,9,140,31,"baseline"
76,9,140,31,"signal"
77,8,140,31,"baseline"
78,8,140,31,"signal"
79,5,140,31,"baseline"
80,5,140,31,"signal"
81,6,140,31,"baseline"
82,6,140,31,"signal"
83,4,140,31,"baseline"
84,4,140,31,"signal"
85,2,141,31,"baseline"
86,2,141,31,"signal"
87,9,141,31,"baseline"
88,9,141,31,"signal"
89,8,141,31,"baseline"
90,8,141,31,"signal"
91,5,141,31,"baseline"
92,5,141,31,"signal"
93,6,141,31,"baseline"
94,6,141,31,"signal"
95,4,141,31,"baseline"
96,4,141,31,"signal"
97,2,142,31,"baseline"
98,2,142,31,"signal"
99,9,142,31,"baseline"
100,9,142,31,"signal"
101,8,142,31,"baseline"
102,8,142,31,"signal"
103,5,142,31,"baseline"
104,5,142,31,"signal"
105,6,142,31,"baseline"
106,6,142,31,"signal"
107,4,142,31,"baseline"
108,4,142,31,"signal"
109,2,143,31,"baseline"
110,2,143,31,"signal"
111,9,143,31,"baseline"
112,9,143,31,"signal"
113,8,143,31,"baseline"
114,8,143,31,"signal"
115,5,143,31,"baseline"
116,5,143,31,"signal"
117,6,143,31,"baseline"
118,6,143,31,"signal"
119,4,143,31,"baseline"
120,4,143,31,"signal"
121,2,144,31,"baseline"
122,2,144,31,"signal"
123,9,144,31,"baseline"
124,9,144,31,"signal"
125,8,144,31,"baseline"
126,8,144,31,"signal"
127,5,144,31,"baseline"
128,5,144,31,"signal"
129,6,144,31,"baseline"
130,6,144,31,"signal"
131,4,144,31,"baseline"
132,4,144,31,"signal"
133,2,145,31,"baseline"
134,2,145,31,"signal"
135,9,145,31,"baseline"
136,9,145,31,"signal"
137,8,145,31,"baseline"
138,8,145,31,"signal"
139,5,145,31,"baseline"
140,5,145,31,"signal"
141,6,145,31,"baseline"
142,6,145,31,"signal"
143,4,145,31,"baseline"
144,4,145,31,"signal"
145,2,146,31,"baseline"
146,2,146,31,"signal"
147,9,146,31,"baseline"
148,9,146,31,"signal"
149,8,146,31,"baseline"
150,8,146,31,"signal"
151,5,146,31,"baseline"
152,5,146,31,"signal"
153,6,146,31,"baseline"
154,6,146,31,"signal"
155,4,146,31,"baseline"
156,4,146,31,"signal"
157,2,147,31,"baseline"
158,2,147,31,"signal"
159,9,147,31,"baseline"
160,9,147,31,"signal"
161,8,147,31,"baseline"
162,8,147,31,"signal"
163,5,147,31,"baseline"
164,5,147,31,"signal"
165,6,147,31,"baseline"
166,6,147,31,"signal"
167,4,147,31,"baseline"
168,4,147,31,"signal"
169,2,148,31,"baseline"
170,2,148,31,"signal"
171,9,148,31,"baseline"
172,9,148,31,"signal"
173,8,148,31,"baseline"
174,8,148,31,"signal"
175,5,148,31,"baseline"
176,5,148,31,"signal"
177,6,148,31,"baseline"
178,6,148,31,"signal"
179,4,148,31,"baseline"
180,4,148,31,"signal"
181,2,149,31,"baseline"
182,2,149,31,"signal"
183,9,149,31,"baseline"
184,9,149,31,"signal"
185,8,149,31,"baseline"
186,8,149,31,"signal"
187,5,149,31,"baseline"
188,5,149,31,"signal"
189,6,149,31,"baseline"
190,6,149,31,"signal"
191,4,149,31,"baseline"
192,4,149,31,"signal"
193,2,150,31,"baseline"
194,2,150,31,"signal"
195,9,150,31,"baseline"
196,9,150,31,"signal"
197,8,150,31,"baseline"
198,8,150,31,"signal"
199,5,150,31,"baseline"
200,5,150,31,"signal"
201,6,150,31,"baseline"
202,6,150,31,"signal"
203,4,150,31,"baseline"
204,4,150,31,"signal"
205,2,151,31,"baseline"
206,2,151,31,"signal"
207,9,151,31,"baseline"
208,9,151,31,"signal"
209,8,151,31,"baseline"
210,8,151,31,"signal"
211,5,151,31,"baseline"
212,5,151,31,"signal"
213,6,151,31,"baseline"
214,6,151,31,"signal"
215,4,151,31,"baseline"
216,4,151,31,"signal"
217,2,152,31,"baseline"
218,2,152,31,"signal"
219,9,152,31,"baseline"
220,9,152,31,"signal"
221,8,152,31,"baseline"
222,8,152,31,"signal"
223,5,152,31,"baseline"
224,5,152,31,"signal"
225,6,152,31,"baseline"
226,6,152,31,"signal"
227,4,152,31,"baseline"
228,4,152,31,"signal"
229,2,153,31,"baseline"
230,2,153,31,"signal"
231,9,153,31,"baseline"
232,9,153,31,"signal"
233,8,153,31,"baseline"
234,8,153,31,"signal"
235,5,153,31,"baseline"
236,5,153,31,"signal"
237,6,153,31,"baseline"
238,6,153,31,"signal"
239,4,153,31,"baseline"
240,4,153,31,"signal"
241,2,154,31,"baseline"
242,2,154,31,"signal"
243,9,154,31,"baseline"
244,9,154,31,"signal"
245,8,154,31,"baseline"
246,8,154,31,"signal"
247,5,154,31,"baseline"
248,5,154,31,"signal"
249,6,154,31,"baseline"
250,6,154,31,"signal"
251,4,154,31,"baseline"
252,4,154,31,"signal"
253,2,155,31,"baseline"
254,2,155,31,"signal"
255,9,155,31,"baseline"
256,9,155,31,"signal"
257,8,155,31,"baseline"
258,8,155,31,"signal"
259,5,155,31,"baseline"
260,5,155,31,"signal"
261,6,155,31,"baseline"
262,6,155,31,"signal"
263,4,155,31,"baseline"
264,4,155,31,"signal"
265,2,156,31,"baseline"
266,2,156,31,"signal"
267,9,156,31,"baseline"
268,9,156,31,"signal"
269,8,156,31,"baseline"
270,8,156,31,"signal"
271,5,156,31,"baseline"
272,5,156,31,"signal"
273,6,156,31,"baseline"
274,6,156,31,"signal"
275,4,156,31,"baseline"
276,4,156,31,"signal"
277,2,157,31,"baseline"
278,2,157,31,"signal"
279,9,157,31,"baseline"
280,9,157,31,"signal"
281,8,157,31,"baseline"
282,8,157,31,"signal"
283,5,157,31,"baseline"
284,5,157,31,"signal"
285,6,157,31,"baseline"
286,6,157,31,"signal"
287,4,157,31,"baseline"
288,4,157,31,"signal"
289,2,158,31,"baseline"
290,2,158,31,"signal"
291,9,158,31,"baseline"
292,9,158,31,"signal"
293,8,158,31,"baseline"
294,8,158,31,"signal"
295,5,158,31,"baseline"
296,5,158,31,"signal"
297,6,158,31,"baseline"
298,6,158,31,"signal"
299,4,158,31,"baseline"
300,4,158,31,"signal"
301,2,159,31,"baseline"
302,2,159,31,"signal"
303,9,159,31,"baseline"
304,9,159,31,"signal"
305,8,159,31,"baseline"
