id,mass_spectrometer_id,analysis_type_id,spectrometer_parameters_id,script_id
6,3,7,NULL,NULL
7,3,3,NULL,NULL
8,3,3,NULL,NULL
9,3,3,NULL,NULL
10,3,3,NULL,NULL
11,3,7,NULL,NULL
12,3,7,NULL,NULL
13,3,3,NULL,NULL
14,3,7,NULL,NULL
15,3,7,NULL,NULL
16,3,7,NULL,NULL
17,3,7,NULL,NULL
18,3,3,NULL,NULL
19,3,7,NULL,NULL
20,3,7,NULL,NULL
21,3,7,NULL,NULL
22,3,7,NULL,NULL
23,3,3,NULL,NULL
24,3,7,NULL,NULL
25,3,7,NULL,NULL
26,3,7,NULL,NULL
27,3,7,NULL,NULL
28,3,3,NULL,NULL
29,3,7,NULL,NULL
30,3,7,NULL,NULL
31,3,7,NULL,NULL
32,3,7,NULL,NULL
33,3,3,NULL,NULL
34,3,7,NULL,NULL
35,3,7,NULL,NULL
36,3,7,NULL,NULL
37,3,7,NULL,NULL
38,3,3,NULL,NULL
39,3,7,NULL,NULL
40,3,7,NULL,NULL
41,3,7,NULL,NULL
42,3,7,NULL,NULL
43,3,3,NULL,NULL
44,3,7,NULL,NULL
45,3,7,NULL,NULL
46,3,7,NULL,NULL
47,3,7,NULL,NULL
48,3,3,NULL,NULL
49,3,3,NULL,NULL
50,3,3,NULL,NULL
51,3,7,NULL,NULL
52,3,3,NULL,NULL
53,3,7,NULL,NULL
54,3,7,NULL,NULL
55,3,7,NULL,NULL
56,3,7,NULL,NULL
57,3,3,NULL,NULL
58,3,7,NULL,NULL
59,3,3,NULL,NULL
60,3,3,NULL,NULL
61,3,7,NULL,NULL
62,3,7,NULL,NULL
63,3,7,NULL,NULL
64,3,7,NULL,NULL
65,3,3,NULL,NULL
66,3,7,NULL,NULL
67,3,7,NULL,NULL
68,3,7,NULL,NULL
69,3,7,NULL,NULL
70,3,3,NULL,NULL
71,3,3,NULL,NULL
72,3,3,NULL,NULL
73,3,3,NULL,NULL
74,3,3,NULL,NULL
75,3,7,NULL,NULL
76,3,3,NULL,NULL
77,3,3,NULL,NULL
78,3,7,NULL,NULL
79,3,7,NULL,NULL
80,3,7,NULL,NULL
81,3,7,NULL,NULL
82,3,7,NULL,NULL
83,3,3,NULL,NULL
84,3,7,NULL,NULL
85,3,7,NULL,NULL
86,3,7,NULL,NULL
87,3,7,NULL,NULL
88,3,3,NULL,NULL
89,3,3,NULL,NULL
90,3,3,NULL,NULL
91,3,7,NULL,NULL
92,3,3,NULL,NULL
93,3,7,NULL,NULL
94,3,7,NULL,NULL
95,3,7,NULL,NULL
96,3,7,NULL,NULL
97,3,7,NULL,NULL
98,3,3,NULL,NULL
99,3,7,NULL,NULL
100,3,7,NULL,NULL
101,3,7,NULL,NULL
102,3,7,NULL,NULL
103,3,7,NULL,NULL
104,3,3,NULL,NULL
105,3,7,NULL,NULL
106,3,7,NULL,NULL
107,3,7,NULL,NULL
108,3,7,NULL,NULL
109,3,7,NULL,NULL
110,3,3,NULL,NULL
111,3,7,NULL,NULL
112,3,7,NULL,NULL
113,3,7,NULL,NULL
114,3,7,NULL,NULL
115,3,7,NULL,NULL
