id,position,x,y,z,is_degas,extraction_id,"load_identifier"
2,147,NULL,NULL,NULL,NULL,6,NULL
3,148,NULL,NULL,NULL,NULL,11,NULL
4,149,NULL,NULL,NULL,NULL,12,NULL
5,150,NULL,NULL,NULL,NULL,14,NULL
6,151,NULL,NULL,NULL,NULL,15,NULL
7,152,NULL,NULL,NULL,NULL,16,NULL
8,153,NULL,NULL,NULL,NULL,17,NULL
9,154,NULL,NULL,NULL,NULL,19,NULL
10,155,NULL,NULL,NULL,NULL,20,NULL
11,156,NULL,NULL,NULL,NULL,21,NULL
12,157,NULL,NULL,NULL,NULL,22,NULL
13,158,NULL,NULL,NULL,NULL,24,NULL
14,159,NULL,NULL,NULL,NULL,25,NULL
15,160,NULL,NULL,NULL,NULL,26,NULL
16,161,NULL,NULL,NULL,NULL,27,NULL
17,162,NULL,NULL,NULL,NULL,29,NULL
18,163,NULL,NULL,NULL,NULL,30,NULL
19,164,NULL,NULL,NULL,NULL,31,NULL
20,165,NULL,NULL,NULL,NULL,32,NULL
21,166,NULL,NULL,NULL,NULL,34,NULL
22,167,NULL,NULL,NULL,NULL,35,NULL
23,168,NULL,NULL,NULL,NULL,36,NULL
24,169,NULL,NULL,NULL,NULL,37,NULL
25,170,NULL,NULL,NULL,NULL,39,NULL
26,171,NULL,NULL,NULL,NULL,40,NULL
27,172,NULL,NULL,NULL,NULL,41,NULL
28,173,NULL,NULL,NULL,NULL,42,NULL
29,174,NULL,NULL,NULL,NULL,44,NULL
30,175,NULL,NULL,NULL,NULL,45,NULL
31,176,NULL,NULL,NULL,NULL,46,NULL
32,177,NULL,NULL,NULL,NULL,47,NULL
33,178,NULL,NULL,NULL,NULL,51,NULL
34,179,NULL,NULL,NULL,NULL,53,NULL
35,180,NULL,NULL,NULL,NULL,54,NULL
36,181,NULL,NULL,NULL,NULL,55,NULL
37,182,NULL,NULL,NULL,NULL,56,NULL
38,5,NULL,NULL,NULL,NULL,58,NULL
39,6,NULL,NULL,NULL,NULL,78,NULL
40,7,NULL,NULL,NULL,NULL,93,NULL
41,8,NULL,NULL,NULL,NULL,105,NULL
42,9,NULL,NULL,NULL,NULL,117,NULL
43,10,NULL,NULL,NULL,NULL,129,NULL
44,11,NULL,NULL,NULL,NULL,143,NULL
45,12,NULL,NULL,NULL,NULL,158,NULL
46,1,NULL,NULL,NULL,NULL,177,NULL
47,2,NULL,NULL,NULL,NULL,191,NULL
48,3,NULL,NULL,NULL,NULL,203,NULL
49,4,NULL,NULL,NULL,NULL,216,NULL
50,183,NULL,NULL,NULL,NULL,228,NULL
51,184,NULL,NULL,NULL,NULL,229,NULL
52,185,NULL,NULL,NULL,NULL,230,NULL
53,186,NULL,NULL,NULL,NULL,231,NULL
54,187,NULL,NULL,NULL,NULL,233,NULL
55,188,NULL,NULL,NULL,NULL,234,NULL
56,189,NULL,NULL,NULL,NULL,235,NULL
57,190,NULL,NULL,NULL,NULL,236,NULL
58,191,NULL,NULL,NULL,NULL,238,NULL
59,192,NULL,NULL,NULL,NULL,239,NULL
60,193,NULL,NULL,NULL,NULL,240,NULL
61,194,NULL,NULL,NULL,NULL,241,NULL
62,195,NULL,NULL,NULL,NULL,243,NULL
63,196,NULL,NULL,NULL,NULL,244,NULL
64,197,NULL,NULL,NULL,NULL,245,NULL
65,198,NULL,NULL,NULL,NULL,246,NULL
66,199,NULL,NULL,NULL,NULL,248,NULL
67,200,NULL,NULL,NULL,NULL,249,NULL
68,201,NULL,NULL,NULL,NULL,250,NULL
69,202,NULL,NULL,NULL,NULL,251,NULL
70,203,NULL,NULL,NULL,NULL,253,NULL
71,204,NULL,NULL,NULL,NULL,254,NULL
72,205,NULL,NULL,NULL,NULL,255,NULL
73,206,NULL,NULL,NULL,NULL,256,NULL
74,207,NULL,NULL,NULL,NULL,258,NULL
75,208,NULL,NULL,NULL,NULL,259,NULL
76,209,NULL,NULL,NULL,NULL,260,NULL
77,210,NULL,NULL,NULL,NULL,261,NULL
78,211,NULL,NULL,NULL,NULL,263,NULL
79,212,NULL,NULL,NULL,NULL,264,NULL
80,213,NULL,NULL,NULL,NULL,266,NULL
81,214,NULL,NULL,NULL,NULL,267,NULL
82,215,NULL,NULL,NULL,NULL,268,NULL
