id,intercalibration_id,ic_analysis_id
1,26948,4578
2,26948,4582
3,26948,4583
4,26948,4584
5,26948,4585
6,26948,4610
7,26948,4626
8,26948,4640
9,26948,4656
10,26948,4660
11,26948,4662
12,26948,5186
13,26948,5203
14,26948,5213
15,26948,5231
16,26948,5247
17,26948,5263
18,26948,5282
19,26949,4578
20,26949,4582
21,26949,4583
22,26949,4584
23,26949,4585
24,26949,4610
25,26949,4626
26,26949,4640
27,26949,4656
28,26949,4660
29,26949,4662
30,26949,5186
31,26949,5203
32,26949,5213
33,26949,5231
34,26949,5247
35,26949,5263
36,26949,5282
37,26950,4578
38,26950,4582
39,26950,4583
40,26950,4584
41,26950,4585
42,26950,4610
43,26950,4626
44,26950,4640
45,26950,4656
46,26950,4660
47,26950,4662
48,26950,5186
49,26950,5203
50,26950,5213
51,26950,5231
52,26950,5247
53,26950,5263
54,26950,5282
55,26951,4578
56,26951,4582
57,26951,4583
58,26951,4584
59,26951,4585
60,26951,4610
61,26951,4626
62,26951,4640
63,26951,4656
64,26951,4660
65,26951,4662
66,26951,5186
67,26951,5203
68,26951,5213
69,26951,5231
70,26951,5247
71,26951,5263
72,26951,5282
73,26952,4578
74,26952,4582
75,26952,4583
76,26952,4584
77,26952,4585
78,26952,4610
79,26952,4626
80,26952,4640
81,26952,4656
82,26952,4660
83,26952,4662
84,26952,5186
85,26952,5203
86,26952,5213
87,26952,5231
88,26952,5247
89,26952,5263
90,26952,5282
91,26953,4578
92,26953,4582
93,26953,4583
94,26953,4584
95,26953,4585
96,26953,4610
97,26953,4626
98,26953,4640
99,26953,4656
100,26953,4660
101,26953,4662
102,26953,5186
103,26953,5203
104,26953,5213
105,26953,5231
106,26953,5247
107,26953,5263
108,26953,5282
109,26954,4578
110,26954,4582
111,26954,4583
112,26954,4584
113,26954,4585
114,26954,4610
115,26954,4626
116,26954,4640
117,26954,4656
118,26954,4660
119,26954,4662
120,26954,5186
121,26954,5203
122,26954,5213
123,26954,5231
124,26954,5247
125,26954,5263
126,26954,5282
127,26955,4578
128,26955,4582
129,26955,4583
130,26955,4584
131,26955,4585
132,26955,4610
133,26955,4626
134,26955,4640
135,26955,4656
136,26955,4660
137,26955,4662
138,26955,5186
139,26955,5203
140,26955,5213
141,26955,5231
142,26955,5247
143,26955,5263
144,26955,5282
145,26956,4578
146,26956,4582
147,26956,4583
148,26956,4584
149,26956,4585
150,26956,4610
151,26956,4626
152,26956,4640
153,26956,4656
154,26956,4660
155,26956,4662
156,26956,5186
157,26956,5203
158,26956,5213
159,26956,5231
160,26956,5247
161,26956,5263
162,26956,5282
163,26957,4578
164,26957,4582
165,26957,4583
166,26957,4584
167,26957,4585
168,26957,4610
169,26957,4626
170,26957,4640
171,26957,4656
172,26957,4660
173,26957,4662
174,26957,5186
175,26957,5203
176,26957,5213
177,26957,5231
178,26957,5247
179,26957,5263
180,26957,5282
181,26958,4578
182,26958,4582
183,26958,4583
184,26958,4584
185,26958,4585
186,26958,4610
187,26958,4626
188,26958,4640
189,26958,4656
190,26958,4660
191,26958,4662
192,26958,5186
193,26958,5203
194,26958,5213
195,26958,5231
196,26958,5247
197,26958,5263
198,26958,5282
199,26959,4578
200,26959,4582
201,26959,4583
202,26959,4584
203,26959,4585
204,26959,4610
205,26959,4626
206,26959,4640
207,26959,4656
208,26959,4660
209,26959,4662
210,26959,5186
211,26959,5203
212,26959,5213
213,26959,5231
214,26959,5247
215,26959,5263
216,26959,5282
217,26960,4578
218,26960,4582
219,26960,4583
220,26960,4584
221,26960,4585
222,26960,4610
223,26960,4626
224,26960,4640
225,26960,4656
226,26960,4660
227,26960,4662
228,26960,5186
229,26960,5203
230,26960,5213
231,26960,5231
232,26960,5247
233,26960,5263
234,26960,5282
235,26961,4578
236,26961,4582
237,26961,4583
238,26961,4584
239,26961,4585
240,26961,4610
241,26961,4626
242,26961,4640
243,26961,4656
244,26961,4660
245,26961,4662
246,26961,5186
247,26961,5203
248,26961,5213
249,26961,5231
250,26961,5247
251,26961,5263
