id,history_id,disc,disc_error,detector_id
1,1,1.004,0.001,31
2,2,1.004,0.001,31
3,3,1.004,0.001,31
4,4,1.004,0.001,31
5,5,1.004,0.001,31
6,6,1.004,0.001,31
7,7,1.004,0.001,31
8,8,1.004,0.001,31
9,9,1.004,0.001,31
10,10,1.004,0.001,31
11,11,1.004,0.001,31
12,12,1.004,0.001,31
13,13,1.004,0.001,31
14,14,1.004,0.001,31
15,15,1.004,0.001,31
16,16,1.004,0.001,31
17,17,1.004,0.001,31
18,18,1.004,0.001,31
19,19,1.004,0.001,31
20,20,1.004,0.001,31
21,21,1.004,0.001,31
22,22,1.004,0.001,31
23,23,1.004,0.001,31
24,24,1.004,0.001,31
25,25,1.004,0.001,31
26,26,1.004,0.001,31
27,27,1.004,0.001,31
28,28,1.004,0.001,31
29,29,1.004,0.001,31
30,30,1.004,0.001,31
31,31,1.004,0.001,31
32,32,1.004,0.001,31
33,33,1.004,0.001,31
34,34,1.004,0.001,31
35,35,1.004,0.001,31
36,36,1.004,0.001,31
37,37,1.004,0.001,31
38,38,1.004,0.001,31
39,39,1.004,0.001,31
40,40,1.004,0.001,31
41,41,1.004,0.001,31
42,42,1.004,0.001,31
43,43,1.004,0.001,31
44,44,1.004,0.001,31
45,45,1.004,0.001,31
46,46,1.004,0.001,31
47,47,1.004,0.001,31
48,48,1.004,0.001,31
49,49,1.004,0.001,31
50,50,1.004,0.001,31
51,51,1.004,0.001,31
52,52,1.004,0.001,31
53,53,1.004,0.001,31
54,54,1.004,0.001,31
55,55,1.004,0.001,31
56,56,1.004,0.001,31
57,57,1.004,0.001,31
58,58,1.004,0.001,31
59,59,1.004,0.001,31
60,60,1.004,0.001,31
61,61,1.004,0.001,31
62,62,1.004,0.001,31
63,63,1.004,0.001,31
64,64,1.004,0.001,31
65,65,1.004,0.001,31
66,66,1.004,0.001,31
67,67,1.004,0.001,31
68,68,1.004,0.001,31
69,69,1.004,0.001,31
70,70,1.004,0.001,31
71,71,1.004,0.001,31
72,72,1.004,0.001,31
73,73,1.004,0.001,31
74,74,1.004,0.001,31
75,75,1.004,0.001,31
76,76,1.004,0.001,31
77,77,1.004,0.001,31
78,78,1.004,0.001,31
79,79,1.004,0.001,31
80,80,1.004,0.001,31
81,81,1.004,0.001,31
82,82,1.004,0.001,31
83,83,1.004,0.001,31
84,84,1.004,0.001,31
85,85,1.004,0.001,31
86,86,1.004,0.001,31
87,87,1.004,0.001,31
88,88,1.004,0.001,31
89,89,1.004,0.001,31
90,90,1.004,0.001,31
91,91,1.004,0.001,31
92,92,1.004,0.001,31
93,93,1.004,0.001,31
94,94,1.004,0.001,31
95,95,1.004,0.001,31
96,96,1.004,0.001,31
97,97,1.004,0.001,31
