id,sample_id,figure_id,lab_id
3,10,3,18
4,11,4,19
69,58,69,114
70,59,70,115
71,60,71,116
72,61,72,117
73,62,73,118
74,63,74,119
75,64,75,126
76,65,76,127
77,66,77,128
78,67,78,129
79,68,79,130
80,69,80,131
81,70,81,138
82,71,82,139
83,72,83,140
84,73,84,141
85,74,85,142
86,75,86,143
87,76,87,150
88,77,88,151
89,78,89,152
90,79,90,153
91,81,91,161
92,82,92,162
93,107,93,218
94,84,94,164
95,85,95,165
96,86,96,166
97,88,97,173
98,89,98,174
99,90,99,175
100,91,100,176
101,92,101,177
102,93,102,185
122,133,122,255
132,143,132,277
133,144,133,278
134,145,134,279
135,146,135,280
136,147,136,281
137,148,137,282
138,149,138,289
139,150,139,290
140,151,140,291
141,152,141,292
142,153,142,293
143,154,143,294
144,155,144,301
145,156,145,302
146,157,146,303
147,158,147,304
148,159,148,305
149,160,149,306
150,161,150,313
151,162,151,314
152,163,152,315
153,164,153,316
154,139,154,267
155,141,155,269
156,167,156,332
157,168,157,333
158,169,158,334
159,177,159,361
160,178,160,362
161,179,161,363
409,NULL,343,9
422,NULL,345,9
423,NULL,345,11
424,NULL,345,12
425,NULL,345,13
426,NULL,345,14
427,NULL,345,15
428,NULL,346,9
429,NULL,346,11
430,NULL,346,12
431,NULL,346,13
432,NULL,346,14
433,NULL,346,15
434,NULL,347,29
435,NULL,347,30
436,NULL,347,31
437,NULL,347,32
438,NULL,347,33
439,NULL,347,34
440,NULL,348,41
441,NULL,348,42
442,NULL,348,43
443,NULL,348,44
444,NULL,348,45
445,NULL,348,46
446,NULL,349,47
447,NULL,349,49
448,NULL,349,51
449,NULL,349,53
450,NULL,349,55
451,NULL,349,57
452,NULL,349,59
453,NULL,349,60
454,NULL,349,61
455,NULL,349,62
456,NULL,350,63
457,NULL,350,65
458,NULL,350,67
459,NULL,350,69
460,NULL,350,71
461,NULL,350,73
462,NULL,351,74
463,NULL,351,76
464,NULL,351,78
465,NULL,351,80
466,NULL,351,82
467,NULL,351,84
468,NULL,351,86
469,NULL,351,88
470,NULL,351,90
471,NULL,351,92
472,NULL,352,94
473,NULL,352,96
474,NULL,352,98
475,NULL,352,100
476,NULL,352,102
477,NULL,352,104
478,NULL,352,106
479,NULL,352,108
480,NULL,352,110
481,NULL,352,112
482,NULL,353,120
483,NULL,353,121
484,NULL,353,122
485,NULL,353,123
486,NULL,353,124
487,NULL,353,125
488,NULL,354,132
489,NULL,354,133
490,NULL,354,134
491,NULL,354,135
492,NULL,354,136
493,NULL,354,137
494,NULL,355,144
495,NULL,355,145
496,NULL,355,146
497,NULL,355,147
498,NULL,355,148
499,NULL,355,149
500,NULL,356,155
501,NULL,356,156
502,NULL,356,157
503,NULL,356,158
504,NULL,356,159
505,NULL,356,160
506,NULL,357,167
507,NULL,357,168
508,NULL,357,169
509,NULL,357,170
510,NULL,357,171
511,NULL,357,172
512,NULL,358,178
513,NULL,358,179
514,NULL,358,180
515,NULL,358,181
516,NULL,358,182
517,NULL,358,183
518,NULL,359,184
519,NULL,359,186
520,NULL,359,188
521,NULL,359,190
522,NULL,359,192
523,NULL,359,194
524,NULL,359,196
525,NULL,359,198
526,NULL,359,200
527,NULL,359,202
578,NULL,365,208
579,NULL,365,209
580,NULL,365,210
581,NULL,365,211
582,NULL,365,212
583,NULL,365,213
584,NULL,365,214
585,NULL,365,215
586,NULL,365,216
587,NULL,365,217
588,NULL,366,223
589,NULL,366,228
590,NULL,366,233
591,NULL,366,238
592,NULL,367,249
593,NULL,367,250
594,NULL,367,251
595,NULL,367,252
596,NULL,367,253
597,NULL,367,254
598,NULL,368,261
599,NULL,368,262
600,NULL,368,263
601,NULL,368,264
602,NULL,368,265
603,NULL,368,266
604,NULL,369,271
605,NULL,369,272
606,NULL,369,273
607,NULL,369,274
608,NULL,369,275
609,NULL,369,276
610,NULL,370,283
611,NULL,370,284
612,NULL,370,285
613,NULL,370,286
614,NULL,370,287
615,NULL,370,288
616,NULL,371,295
617,NULL,371,296
618,NULL,371,297
619,NULL,371,298
620,NULL,371,299
621,NULL,371,300
622,NULL,372,307
623,NULL,372,308
624,NULL,372,309
625,NULL,372,310
626,NULL,372,311
627,NULL,372,312
628,NULL,373,319
629,NULL,373,320
630,NULL,373,321
631,NULL,373,322
632,NULL,373,323
633,NULL,373,324
634,NULL,374,335
635,NULL,374,341
636,NULL,374,342
637,NULL,374,343
638,NULL,374,344
639,NULL,374,345
640,NULL,375,364
641,NULL,375,365
642,NULL,375,366
643,NULL,375,367
644,NULL,375,368
645,NULL,375,369
646,NULL,375,370
647,NULL,375,371
648,NULL,375,372
649,NULL,375,373
695,NULL,421,114
696,NULL,422,115
697,NULL,423,116
698,NULL,424,117
699,NULL,425,118
700,NULL,426,119
701,NULL,427,126
702,NULL,428,127
703,NULL,429,128
704,NULL,430,129
705,NULL,431,130
706,NULL,432,131
707,NULL,433,138
708,NULL,434,139
709,NULL,435,140
710,NULL,436,141
711,NULL,437,142
712,NULL,438,143
713,NULL,439,150
714,NULL,440,151
715,NULL,441,152
716,NULL,442,16
717,NULL,443,18
718,NULL,444,19
719,NULL,445,20
720,NULL,446,21
721,NULL,447,22
722,NULL,448,23
723,NULL,449,24
724,NULL,450,25
725,NULL,451,26
