id,"create_date","user","identifier"
33,"2013-12-30 13:43:15",NULL,"56954"
34,"2013-12-30 13:43:17",NULL,"56955"
35,"2013-12-30 13:43:20",NULL,"56956"
36,"2013-12-30 13:43:22",NULL,"56957"
37,"2013-12-30 13:59:46",NULL,"56958"
38,"2013-12-30 13:59:49",NULL,"56959"
39,"2013-12-30 13:59:51",NULL,"56960"
40,"2013-12-30 13:59:53",NULL,"56961"
41,"2013-12-30 13:59:55",NULL,"56962"
42,"2013-12-30 13:59:58",NULL,"56963"
43,"2013-12-30 14:00:00",NULL,"56964"
44,"2013-12-30 14:00:05",NULL,"56965"
45,"2013-12-30 14:00:10",NULL,"56966"
46,"2013-12-30 14:00:21",NULL,"56967"
47,"2013-12-30 14:00:24",NULL,"56968"
48,"2013-12-30 14:00:28",NULL,"56969"
49,"2013-12-31 23:20:31",NULL,"56970"
50,"2013-12-31 23:20:33",NULL,"56971"
51,"2013-12-31 23:20:36",NULL,"56972"
52,"2013-12-31 23:20:38",NULL,"57016"
53,"2013-12-31 23:20:42",NULL,"57017"
54,"2013-12-31 23:20:46",NULL,"57018"
55,"2013-12-31 23:20:48",NULL,"57536"
56,"2013-12-31 23:20:50",NULL,"57537"
57,"2013-12-31 23:20:53",NULL,"57538"
58,"2013-12-31 23:20:54",NULL,"57539"
59,"2013-12-31 23:20:57",NULL,"57540"
60,"2013-12-31 23:20:59",NULL,"57541"
61,"2013-12-31 23:21:00",NULL,"57542"
62,"2013-12-31 23:21:02",NULL,"57543"
63,"2013-12-31 23:21:05",NULL,"57544"
64,"2013-12-31 23:21:06",NULL,"57545"
65,"2013-12-31 23:21:08",NULL,"57546"
66,"2013-12-31 23:21:10",NULL,"57547"
67,"2013-12-31 23:21:14",NULL,"57548"
68,"2013-12-31 23:21:15",NULL,"57549"
69,"2013-12-31 23:49:27",NULL,"57550"
70,"2013-12-31 23:49:29",NULL,"57551"
71,"2013-12-31 23:49:32",NULL,"57552"
72,"2013-12-31 23:49:34",NULL,"57553"
73,"2013-12-31 23:49:36",NULL,"57554"
74,"2013-12-31 23:49:38",NULL,"57555"
75,"2013-12-31 23:49:40",NULL,"57556"
76,"2013-12-31 23:49:43",NULL,"57557"
77,"2013-12-31 23:49:45",NULL,"57718"
78,"2013-12-31 23:49:47",NULL,"57719"
79,"2013-12-31 23:49:49",NULL,"57720"
80,"2013-12-31 23:49:51",NULL,"57721"
81,"2013-12-31 23:49:54",NULL,"57722"
82,"2013-12-31 23:49:55",NULL,"57723"
83,"2013-12-31 23:49:57",NULL,"57724"
84,"2013-12-31 23:50:00",NULL,"57725"
85,"2013-12-31 23:50:02",NULL,"57726"
86,"2013-12-31 23:50:04",NULL,"57727"
