id,analysis_id,selected_blanks_id,selected_backgrounds_id,selected_det_intercal_id,selected_fits_id,selected_arar_id,selected_det_param_id,selected_sensitivity_id
1,134,68,NULL,NULL,1,NULL,1,NULL
2,135,NULL,NULL,NULL,1853,NULL,NULL,NULL
3,136,NULL,NULL,NULL,1852,NULL,NULL,NULL
4,137,NULL,NULL,NULL,1851,NULL,NULL,NULL
5,138,NULL,NULL,NULL,1850,NULL,NULL,NULL
6,139,69,NULL,NULL,2,NULL,2,NULL
7,140,70,NULL,NULL,3,NULL,3,NULL
8,141,NULL,NULL,NULL,1849,NULL,NULL,NULL
9,142,71,NULL,NULL,4,NULL,4,NULL
10,143,72,NULL,NULL,5,NULL,5,NULL
11,144,73,NULL,NULL,6,NULL,6,NULL
12,145,74,NULL,NULL,7,NULL,7,NULL
13,146,NULL,NULL,NULL,1848,NULL,NULL,NULL
14,147,75,NULL,NULL,8,NULL,8,NULL
15,148,76,NULL,NULL,9,NULL,9,NULL
16,149,77,NULL,NULL,10,NULL,10,NULL
17,150,78,NULL,NULL,11,NULL,11,NULL
18,151,NULL,NULL,NULL,1847,NULL,NULL,NULL
19,152,79,NULL,NULL,12,NULL,12,NULL
20,153,80,NULL,NULL,13,NULL,13,NULL
21,154,81,NULL,NULL,14,NULL,14,NULL
22,155,82,NULL,NULL,15,NULL,15,NULL
23,156,NULL,NULL,NULL,1846,NULL,NULL,NULL
24,157,83,NULL,NULL,16,NULL,16,NULL
25,158,84,NULL,NULL,17,NULL,17,NULL
26,159,85,NULL,NULL,18,NULL,18,NULL
27,160,86,NULL,NULL,19,NULL,19,NULL
28,161,NULL,NULL,NULL,1845,NULL,NULL,NULL
29,162,87,NULL,NULL,20,NULL,20,NULL
30,163,88,NULL,NULL,21,NULL,21,NULL
31,164,89,NULL,NULL,22,NULL,22,NULL
32,165,90,NULL,NULL,23,NULL,23,NULL
33,166,NULL,NULL,NULL,1844,NULL,NULL,NULL
34,167,91,NULL,NULL,24,NULL,24,NULL
35,168,92,NULL,NULL,25,NULL,25,NULL
36,169,93,NULL,NULL,26,NULL,26,NULL
37,170,94,NULL,NULL,27,NULL,27,NULL
38,171,NULL,NULL,NULL,1843,NULL,NULL,NULL
39,172,95,NULL,NULL,28,NULL,28,NULL
40,173,96,NULL,NULL,29,NULL,29,NULL
41,174,97,NULL,NULL,30,NULL,30,NULL
42,175,98,NULL,NULL,31,NULL,31,NULL
43,176,NULL,NULL,NULL,1838,NULL,NULL,NULL
44,177,NULL,NULL,NULL,1837,NULL,NULL,NULL
45,178,NULL,NULL,NULL,1836,NULL,NULL,NULL
46,179,99,NULL,NULL,32,NULL,32,NULL
47,180,NULL,NULL,NULL,1835,NULL,NULL,NULL
48,181,100,NULL,NULL,33,NULL,33,NULL
49,182,101,NULL,NULL,34,NULL,34,NULL
50,183,102,NULL,NULL,35,NULL,35,NULL
51,184,103,NULL,NULL,36,NULL,36,NULL
52,185,NULL,NULL,NULL,1834,NULL,NULL,NULL
53,186,1662,NULL,NULL,1574,NULL,1068,NULL
54,187,NULL,NULL,NULL,1778,NULL,NULL,NULL
55,188,NULL,NULL,NULL,1777,NULL,NULL,NULL
56,189,1663,NULL,NULL,1575,NULL,1069,NULL
57,190,1664,NULL,NULL,1576,NULL,1070,NULL
58,191,1665,NULL,NULL,1577,NULL,1071,NULL
59,192,1666,NULL,NULL,1578,NULL,1072,NULL
60,193,NULL,NULL,NULL,1776,NULL,NULL,NULL
61,194,1667,NULL,NULL,1579,NULL,1073,NULL
62,195,1668,NULL,NULL,1580,NULL,1074,NULL
63,196,1669,NULL,NULL,1581,NULL,1075,NULL
64,197,1670,NULL,NULL,1582,NULL,1076,NULL
65,198,NULL,NULL,NULL,1862,NULL,NULL,NULL
66,199,NULL,NULL,NULL,1861,NULL,NULL,NULL
67,200,NULL,NULL,NULL,1860,NULL,NULL,NULL
68,201,NULL,NULL,NULL,1859,NULL,NULL,NULL
69,202,NULL,NULL,NULL,1858,NULL,NULL,NULL
70,203,1671,NULL,NULL,1583,NULL,1077,NULL
71,204,NULL,NULL,NULL,1857,NULL,NULL,NULL
72,205,NULL,NULL,NULL,1775,NULL,NULL,NULL
73,206,1672,NULL,NULL,1584,NULL,1078,NULL
74,207,1673,NULL,NULL,1585,NULL,1079,NULL
75,208,1674,NULL,NULL,1586,NULL,1080,NULL
76,209,1675,NULL,NULL,1587,NULL,1081,NULL
77,210,1676,NULL,NULL,1588,NULL,1082,NULL
78,211,NULL,NULL,NULL,1774,NULL,NULL,NULL
79,212,1677,NULL,NULL,1589,NULL,1083,NULL
80,213,1678,NULL,NULL,1590,NULL,1084,NULL
81,214,1679,NULL,NULL,1591,NULL,1085,NULL
82,215,1680,NULL,NULL,1592,NULL,1086,NULL
83,216,NULL,NULL,NULL,1856,NULL,NULL,NULL
84,217,NULL,NULL,NULL,1855,NULL,NULL,NULL
85,218,NULL,NULL,NULL,1854,NULL,NULL,NULL
86,219,1681,NULL,NULL,1593,NULL,1087,NULL
87,220,NULL,NULL,NULL,1782,NULL,NULL,NULL
88,221,1682,NULL,NULL,1594,NULL,1088,NULL
89,222,1683,NULL,NULL,1595,NULL,1089,NULL
90,223,1684,NULL,NULL,1596,NULL,1090,NULL
91,224,1685,NULL,NULL,1597,NULL,1091,NULL
92,225,1686,NULL,NULL,1598,NULL,1092,NULL
93,226,NULL,NULL,NULL,1781,NULL,NULL,NULL
94,227,1687,NULL,NULL,1599,NULL,1093,NULL
95,228,1688,NULL,NULL,1600,NULL,1094,NULL
96,229,1689,NULL,NULL,1601,NULL,1095,NULL
97,230,1690,NULL,NULL,1602,NULL,1096,NULL
98,231,1691,NULL,NULL,1603,NULL,1097,NULL
99,232,NULL,NULL,NULL,1784,NULL,NULL,NULL
100,233,1692,NULL,NULL,1604,NULL,1098,NULL
101,234,1693,NULL,NULL,1605,NULL,1099,NULL
102,235,1694,NULL,NULL,1606,NULL,1100,NULL
103,236,1695,NULL,NULL,1607,NULL,1101,NULL
104,237,1696,NULL,NULL,1608,NULL,1102,NULL
105,238,NULL,NULL,NULL,1783,NULL,NULL,NULL
106,239,1697,NULL,NULL,1609,NULL,1103,NULL
107,240,1698,NULL,NULL,1610,NULL,1104,NULL
108,241,1699,NULL,NULL,1611,NULL,1105,NULL
109,242,1700,NULL,NULL,1612,NULL,1106,NULL
110,243,1701,NULL,NULL,1613,NULL,1107,NULL
111,244,NULL,NULL,NULL,1786,NULL,NULL,NULL
112,245,1702,NULL,NULL,1614,NULL,1108,NULL
113,246,1703,NULL,NULL,1615,NULL,1109,NULL
114,247,1704,NULL,NULL,1616,NULL,1110,NULL
115,248,1705,NULL,NULL,1617,NULL,1111,NULL
116,249,1706,NULL,NULL,1618,NULL,1112,NULL
117,250,NULL,NULL,NULL,1785,NULL,NULL,NULL
118,251,1707,NULL,NULL,1619,NULL,1113,NULL
119,252,1708,NULL,NULL,1620,NULL,1114,NULL
120,253,1709,NULL,NULL,1621,NULL,1115,NULL
121,254,1710,NULL,NULL,1622,NULL,1116,NULL
122,255,1711,NULL,NULL,1623,NULL,1117,NULL
123,256,NULL,NULL,NULL,1790,NULL,NULL,NULL
124,257,1712,NULL,NULL,1624,NULL,1118,NULL
