id,value,error,history_id
1,3.84e-17,0,1
2,3.84e-17,0,2
3,3.84e-17,0,3
4,3.84e-17,0,4
5,3.84e-17,0,5
6,3.84e-17,0,6
7,3.84e-17,0,7
8,3.84e-17,0,8
9,3.84e-17,0,9
10,3.84e-17,0,10
11,3.84e-17,0,11
12,3.84e-17,0,12
13,3.84e-17,0,13
14,3.84e-17,0,14
15,3.84e-17,0,15
16,3.84e-17,0,16
17,3.84e-17,0,17
18,3.84e-17,0,18
19,3.84e-17,0,19
20,3.84e-17,0,20
21,3.84e-17,0,21
22,3.84e-17,0,22
23,3.84e-17,0,23
24,3.84e-17,0,24
25,3.84e-17,0,25
26,3.84e-17,0,26
27,3.84e-17,0,27
28,3.84e-17,0,28
29,3.84e-17,0,29
30,3.84e-17,0,30
31,3.84e-17,0,31
32,3.84e-17,0,32
33,3.84e-17,0,33
34,3.84e-17,0,34
35,3.84e-17,0,35
36,3.84e-17,0,36
37,3.84e-17,0,37
38,3.84e-17,0,38
39,3.84e-17,0,39
40,3.84e-17,0,40
41,3.84e-17,0,41
42,3.84e-17,0,42
43,3.84e-17,0,43
44,3.84e-17,0,44
45,3.84e-17,0,45
46,3.84e-17,0,46
47,3.84e-17,0,47
48,3.84e-17,0,48
49,3.84e-17,0,49
50,3.84e-17,0,50
51,3.84e-17,0,51
52,3.84e-17,0,52
53,3.84e-17,0,53
54,3.84e-17,0,54
55,3.84e-17,0,55
56,3.84e-17,0,56
57,3.84e-17,0,57
58,3.84e-17,0,58
59,3.84e-17,0,59
60,3.84e-17,0,60
61,3.84e-17,0,61
62,3.84e-17,0,62
63,3.84e-17,0,63
64,3.84e-17,0,64
65,3.84e-17,0,65
66,3.84e-17,0,66
67,3.84e-17,0,67
68,3.84e-17,0,68
69,3.84e-17,0,69
70,3.84e-17,0,70
71,3.84e-17,0,71
72,3.84e-17,0,72
73,3.84e-17,0,73
74,5.37e-17,0,74
75,5.37e-17,0,75
76,5.37e-17,0,76
77,5.37e-17,0,77
78,5.37e-17,0,78
79,5.37e-17,0,79
80,5.37e-17,0,80
81,5.37e-17,0,81
82,5.37e-17,0,82
83,5.37e-17,0,83
84,5.37e-17,0,84
85,5.37e-17,0,85
86,5.37e-17,0,86
87,5.37e-17,0,87
88,5.37e-17,0,88
89,5.37e-17,0,89
90,5.37e-17,0,90
91,5.37e-17,0,91
92,5.37e-17,0,92
93,5.37e-17,0,93
